source_plot_id,lat,lon,year,species,trees_per_acre,trees_per_hectare
7347751010661,38.72232,-80.72204,1989,318.0,147.9043,365.479484
7347793010661,39.02787,-80.69427,1989,400.0,703.4895,1738.360409
7347862010661,38.63899,-80.69426,1989,Unknown,,
7347871010661,38.63899,-80.80538,1989,621.0,538.1835,1329.880388
7347936010661,39.1112,-80.66649,1989,318.0,769.2053,1900.747687
7348016010661,39.08342,-80.66649,1989,Unknown,,
7348031010661,38.83343,-80.55537,1989,837.0,515.9093,1274.839641
7348083010661,38.63899,-80.58315,1989,491.0,309.6981,765.28067
7348152010661,39.1112,-80.69427,1989,318.0,376.9715,931.516861
7348207010661,38.86121,-80.74982,1989,972.0,340.3941,841.132138
7348279010661,38.52788,-80.80538,1989,491.0,1243.5506,3072.880448
7348355010661,38.5001,-80.86093,1989,531.0,87.3086,215.744249
7348412010661,38.63899,-80.91649,1989,471.0,384.9788,951.303331
7348457010661,38.83343,-80.58315,1989,391.0,587.2007,1451.004527
7348530010661,39.05565,-80.69427,1989,931.0,604.3082,1493.27808
7348585010661,38.52788,-80.83316,1989,316.0,653.5382,1614.928059
7348640010661,38.83343,-80.69426,1989,602.0,263.6912,651.595144
7348671010661,39.00009,-80.69426,1989,330.0,1053.354,2602.894415
7348745010661,38.55566,-80.91649,1989,Unknown,,
7348757010661,38.66677,-80.58315,1989,621.0,267.2708,660.440529
7348784010661,38.97231,-80.69426,1989,Unknown,,
7348801010661,38.69454,-80.74982,1989,Unknown,,
7348818010661,38.72232,-80.80538,1989,400.0,991.4676,2449.96979
7348880010661,38.63899,-80.97205,1989,391.0,368.7981,911.31995
7348914010661,38.83343,-80.55537,1989,391.0,525.5905,1298.762408
7348966010661,38.83343,-80.52759,1989,931.0,508.3191,1256.083849
7349037010661,38.80565,-80.58315,1989,316.0,704.5155,1740.89571
7349078010661,38.80565,-80.55537,1989,313.0,413.6939,1022.259888
7349100010661,38.77788,-80.58315,1989,Unknown,,
7349112010661,38.7501,-80.55537,1989,621.0,608.9252,1504.686935
7349171010661,38.7501,-80.55537,1989,Unknown,,
7349182010661,38.69455,-80.52759,1989,Unknown,,
7349199010661,38.69454,-80.61093,1989,Unknown,,
7349213010661,38.66677,-80.49981,1989,318.0,97.0941,239.924746
7349266010661,38.63899,-80.55537,1989,802.0,550.9512,1361.430062
7349326010661,38.63899,-80.55537,1989,833.0,559.6857,1383.013481
